web_scraper_order,web_scraper_start_url,name,rating,description,minimum
"1766595122-101","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizza Bros Zürich","4,3","Italienische Pizza, Kebab","Min. 80,00CHF"
"1766595122-102","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Friends Corner","4,6","Indisch, Vegetarisch","Min. 20,00CHF"
"1766595122-103","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","House of Momos Binz","3,7","Asiatisch, Vegetarisch","Min. 45,00CHF"
"1766595122-104","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","LOLIPOP","4,4","Lebensmittel, Geschäfte","Kein Mindestbestellwert"
"1766595122-105","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Imperial Garden x Nota Sushi","5","Sushi, Asiatisch","Min. 150,00CHF"
"1766595122-106","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","JUST SMASHED© Zürich Wiedikon","3,6","Amerikanisch, Burger","Min. 35,00CHF"
"1766595122-107","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tibetaner MOMO","4,9","Dumplings, Asiatisch","Min. 30,00CHF"
"1766595122-108","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Spizzati Pizzeria & Piadineria 2","4,6","Italienisch, Italienische Pizza","Min. 40,00CHF"
"1766595122-109","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Allegrotto Pizza Kurier","5","Falafel","Min. 20,00CHF"
"1766595122-110","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Spaccio - Löwenstrasse","4,3","Italienisch, Italienische Pizza","Min. 18,00CHF"
"1766595122-111","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Happen Afro Restaurant","5","Afrikanisch, Angebote","Min. 20,00CHF"
"1766595122-112","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","LOMO","3,6","Asiatisch, Momos","Min. 40,00CHF"
"1766595122-113","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Europa Restaurant & Piano Bar","4,8","Italienisch, Italienische Pizza","Min. 20,00CHF"
"1766595122-114","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant & Cafe Schmiede","4,3","Libanesisch, Frühstück","Min. 20,00CHF"
"1766595122-115","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Hang's Vietnamese Cuisine","4,7","Vietnamesisch, Asiatisch","Min. 20,00CHF"
"1766595122-116","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Suan Long Seefeld","4,2","Chinesisch, Thailändisch","Min. 20,00CHF"
"1766595122-117","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Metzgerei Keller","4,9","Lebensmittel, Angebote","Kein Mindestbestellwert"
"1766595122-118","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizzeria Molino Stauffacher","4,3","Italienisch, Italienische Pizza","Min. 20,00CHF"
"1766595122-119","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Centro Pizza","3,7","Asiatisch, Italienische Pizza","Min. 50,00CHF"
"1766595122-120","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Bebo's Beef & Chicken","4,2","Hühnchen, Kebab","Min. 20,00CHF"
"1766595122-121","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Blume 3000 - Fleurop","3,3","Lebensmittel, Angebote","Kein Mindestbestellwert"
"1766595122-122","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tacos Plaza","4,2","Mexikanisch, Hühnchen","Min. 20,00CHF"
"1766595122-123","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SUBWAY Zürich Langstrasse","3,9","Snacks, Sandwiches","Min. 20,00CHF"
"1766595122-124","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizzeria Felice","3,9","Italienisch, Italienische Pizza","Min. 55,00CHF"
"1766595122-125","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizzeria La Fammy","4,2","Italienisch, Italienische Pizza","Min. 50,00CHF"
"1766595122-126","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Xi Muoi - Viet Nam Restaurant","4,6","Vietnamesisch, Asiatisch","Min. 20,00CHF"
"1766595122-127","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizza Binz Levante Küche","4,9","Italienische Pizza, Arabisch","Min. 50,00CHF"
"1766595122-128","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SPAR Supermarkt","3,7","Frühstück, Lebensmittel","Kein Mindestbestellwert"
"1766595122-129","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Piro Langstrasse","1,7","Italienische Pizza, Burger","Min. 20,00CHF"
"1766595122-130","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Damas Josefstrasse","4,1","Arabisch, Falafel","Min. 20,00CHF"
"1766595122-131","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tenz Momo Lochergut","4,7","Asiatisch, Momos","Min. 20,00CHF"
"1766595122-132","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Sprit n more 7/24 Shop Tabak","5","Alkohol, Getränke/Snacks","Min. 150,00CHF"
"1766595122-133","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Ying Cusine","4,9","Sushi, Japanisch","Min. 20,00CHF"
"1766595122-134","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","S-Family Restaurant","4,7","Afrikanisch, Traditionell","Min. 20,00CHF"
"1766595122-135","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Little Spice Indian Kitchen","4,7","Indisch, Halal, Vegan","Min. 20,00CHF"
"1766595122-136","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Kuku Kitchen","3","Asiatisch, Momos","Min. 20,00CHF"
"1766595122-137","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Onkel Ali Kebab","","Türkisch, Kebab","Min. 25,00CHF"
"1766595122-138","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Delhi House of Best Curry","4,7","Indisch, Halal, Vegan","Min. 40,00CHF"
"1766595122-139","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Winti Sprit","4,8","Alkohol, Getränke/Snacks","Min. 120,00CHF"
"1766595122-140","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Piratino","4,6","Snacks, Italienische Pizza","Min. 50,00CHF"
"1766595122-141","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","ZFC Zurich Fried Chicken","4,4","Hühnchen, Burger","Min. 40,00CHF"
"1766595122-142","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","McDonald's® Zürich Stadelhofen","4,4","Amerikanisch, Burger","Min. 20,00CHF"
"1766595122-143","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Delhihouse Bistro","3,3","Indisch, Frühstück","Min. 20,00CHF"
"1766595122-144","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","LA CASA DE KIOSK","5","Lebensmittel, Angebote","Min. 40,00CHF"
"1766595122-145","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Ristorante Rosengarten","4,7","Italienisch, Indisch","Min. 100,00CHF"
"1766595122-146","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Steakhouse Texas Zürich","4,1","Mexikanisch","Min. 20,00CHF"
"1766595122-147","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Original Kebab Haus","3,8","Kebab, Angebote","Min. 25,00CHF"
"1766595122-148","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Mesob","4,9","Afrikanisch, Lokale Geheimtipps","Min. 20,00CHF"
"1766595122-149","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Shell mio Shop","4,3","Frühstück, Lebensmittel","Kein Mindestbestellwert"
"1766595122-150","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Flash Bistro Take-Away","4,5","Italienische Pizza, Kebab","Min. 20,00CHF"
"1766595122-151","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Les delice d'Orient","3,6","Libanesisch, Falafel","Min. 20,00CHF"
"1766595122-152","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","nytstore ZH","5","Lebensmittel, Angebote","Min. 42,00CHF"
"1766595122-153","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","BURGER KING ® Europaallee","4","Amerikanisch, Burger","Min. 18,00CHF"
"1766595122-154","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SOD Restaurant","4,7","Thailändisch, Asiatisch","Min. 25,00CHF"
"1766595122-155","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Amaras Restaurant","4,3","Italienische Pizza, Kebab","Min. 80,00CHF"
"1766595122-156","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Im Guet - Pizza & Pasta Kurier","4,9","Italienisch, Italienische Pizza","Min. 60,00CHF"
"1766595122-157","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SPAR Express","1","Frühstück, Lebensmittel","Kein Mindestbestellwert"
"1766595122-158","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Traum Pizza & Kebab","4,3","Snacks, Italienische Pizza","Min. 25,00CHF"
"1766595122-159","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Burger & Shakes","4,2","Amerikanisch, Burger","Min. 25,00CHF"
"1766595122-160","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Toros Imbiss","4,4","Türkische Pizza, Kebab","Min. 25,00CHF"
"1766595122-161","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tamarind Hill Oerlikon","4,5","Indisch, Vegetarisch","Min. 25,00CHF"
"1766595122-162","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tayyeb Burger (Zürich)","4,4","Snacks, Burger","Min. 30,00CHF"
"1766595122-163","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Burgermeister Enge","4,4","Amerikanisch, Burger","Min. 20,00CHF"
"1766595122-164","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Hallo Beirut","4,3","Libanesisch, Falafel","Min. 25,00CHF"
"1766595122-165","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Rodi","4,7","Italienische Pizza, Kebab","Min. 30,00CHF"
"1766595122-166","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","McDonald's® Zürich Tessinerplatz","3,7","Amerikanisch, Burger","Min. 20,00CHF"
"1766595122-167","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Asiaway","4,3","Vietnamesisch, Asiatisch","Min. 25,00CHF"
"1766595122-168","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant and Takeaway Golden India","4,2","Indisch, Indisch","Min. 30,00CHF"
"1766595122-169","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Crown of India Restaurant","4,6","Indisch, Asiatisch","Min. 80,00CHF"
"1766595122-170","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Bäckerei Hug","4,4","Frühstück, Lebensmittel","Kein Mindestbestellwert"
"1766595122-171","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Casa Siciliana","4,6","Italienisch, Italienische Pizza","Min. 60,00CHF"
"1766595122-172","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Liquor House (Zürich)","5","Lebensmittel, Angebote","Min. 60,00CHF"
"1766595122-173","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Muset Restaurant (Halalfood)","3,7","Italienische Pizza, Halal, Kebab","Min. 30,00CHF"
"1766595122-174","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Lamky","4,6","Asiatisch, Chinesisch","Min. 30,00CHF"
"1766595122-175","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Wangkhar Restaurant","4,3","Sushi, Asiatisch","Min. 30,00CHF"
"1766595122-176","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Chi Chest","4,3","Persisch","Min. 25,00CHF"
"1766595122-177","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SPAR Supermarkt","4,5","Frühstück, Lebensmittel","Kein Mindestbestellwert"
"1766595122-178","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Polo Take Away","4,3","Persisch","Min. 30,00CHF"
"1766595122-179","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Spice Village","4,8","Indisch, Asiatisch","Min. 40,00CHF"
"1766595122-180","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Libanès Restaurant","4,2","Libanesisch, Arabisch","Min. 35,00CHF"
"1766595122-181","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Legend Döner","3,9","Türkisch, Kebab","Min. 30,00CHF"
"1766595122-182","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Drink-Taxi.ch","5","Alkohol, Getränke/Snacks","Min. 129,00CHF"
"1766595122-183","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Passioni Italiane - TC Zollikerberg","4,1","Italienisch, Italienische Pizza","Min. 30,00CHF"
"1766595122-184","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Altstetten","2,3","Italienisch, Burger","Min. 30,00CHF"
"1766595122-185","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Sushi Palace Rümlang","4,7","Sushi, Asiatisch","Min. 50,00CHF"
"1766595122-186","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Tandoor House","4,7","Indisch, Angebote","Min. 35,00CHF"
"1766595122-187","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","drink-butler.ch","4,3","Alkohol, Getränke/Snacks","Min. 129,00CHF"
"1766595122-188","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Cafe Bar Balkan","5","Snacks, Burger","Min. 35,00CHF"
"1766595122-189","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","McDonald's® Zürich Oerlikon","4,4","Amerikanisch, Burger","Min. 30,00CHF"
"1766595122-190","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","BURGER KING ® Oerlikon","4","Amerikanisch, Burger","Min. 25,00CHF"
"1766595122-191","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SUBWAY Oerlikon","4,1","Snacks, Sandwiches","Min. 30,00CHF"
"1766595122-192","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Suan Long Zürich-Oerlikon","4,3","Thailändisch, Asiatisch","Min. 30,00CHF"
"1766595122-193","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Cravings Supermarket & Food","4,3","Sandwiches, Arabisch","Kein Mindestbestellwert"
"1766595122-194","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Dunkin' Donuts Bellevue","3,9","Frühstück, Amerikanisch","Min. 20,00CHF"
"1766595122-195","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SPAR Express","4,4","Frühstück, Lebensmittel","Kein Mindestbestellwert"
"1766595122-196","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Big Burger Kurier Zürich","4,5","Amerikanisch, Burger","Min. 30,00CHF"
"1766595122-197","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Burgermeister Oerlikon","4","Amerikanisch, Burger","Min. 25,00CHF"
"1766595122-198","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Ristorante Frascati","3,7","Italienisch, Italienische Pizza","Min. 20,00CHF"
"1766595122-199","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Zekisworld (Oerlikon)","3,9","Kebab, Lokale Geheimtipps","Min. 30,00CHF"
"1766595122-200","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Peking Garden","4,5","Chinesisch, Thailändisch","Min. 70,00CHF"
"1766595122-201","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tenz Momo Bahnhof Oerlikon","4,5","Asiatisch, Momos","Min. 30,00CHF"
